id,name
1,LIVE ANIMALS
2,MEAT & EDIBLE MEAT OFFAL
4,DAIRY EGGS HONEY & EDIBLE PRODUCTS
5,PRODUCTS OF ANIMAL ORIGIN
6,LIVE TREES & OTHER PLANTS
7,EDIBLE VEGETABLES
8,EDIBLE FRUITS & NUTS PEEL OF CITRUS/MELONS
9,COFFEE TEA MATE & SPICES
10,CEREALS
11,MILLING INDUSTRY PRODUCTS
12,OIL SEEDS / MISC GRAINS / MEDICINAL PLANTS / STRAW
13,LAC GUMS RESINS ETC
14,VEGETABLE PLAITING MATERIALS
15,ANIMAL OR VEGETABLE FATS OILS & WAXES
16,EDIBLE PREPARATIONS OF MEAT FISH CRUSTACEANS ETC
17,SUGARS & SUGAR CONFECTIONERY
18,COCOA & COCOA PREPARATIONS
19,PREPARATIONS OF CEREALS FLOUR STARCH OR MILK
20,PREPARATIONS OF VEGETABLES FRUITS NUTS ETC
21,MISCELLANEOUS EDIBLE PREPARATIONS
22,BEVERAGES SPIRITS & VINEGAR
23,RESIDUES FROM FOOD INDUSTRIES ANIMAL FEED
24,TOBACCO & MANUFACTURED TOBACCO SUBSTITUTES
