id,name,category_id
10110,"Horses, asses, mules and hinnies; live, pure-bred breeding animals",1
10111,"Horses; live, pure-bred breeding animals",1
10119,"Horses; live, other than pure-bred breeding animals",1
10120,"Asses, mules and hinnies; live",1
10121,"Horses; live, pure-bred breeding animals",1
10129,"Horses; live, other than pure-bred breeding animals",1
10130,Asses; live,1
10190,Mules and hinnies; live,1
10190,"Horses, asses, mules and hinnies; live, other than pure-bred breeding animals",1
10210,"Bovine animals; live, pure-bred breeding animals",1
10221,"Cattle; live, pure-bred breeding animals",1
10229,"Cattle; live, other than pure-bred breeding animals",1
10231,"Buffalo; live, pure-bred breeding animals",1
10239,"Buffalo; live, other than pure-bred breeding animals",1
10290,"Bovine animals; live, other than cattle and buffalo",1
10290,"Bovine animals; live, other than pure-bred breeding animals",1
10310,"Swine; live, pure-bred breeding animals",1
10391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",1
10391,"Swine; live, (other than pure-bred breeding animals), weighing less than 50kg",1
10392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",1
10392,"Swine; live, (other than pure-bred breeding animals), weighing 50kg or more",1
10410,Sheep; live,1
10420,Goats; live,1
10511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",1
10511,"Poultry; live, fowls of the species gallus domesticus, weighing not more than 185g",1
10512,"Poultry; live, turkeys, weighing not more than 185g",1
10512,"Poultry; live, weighing not more than 185g, turkeys",1
10513,"Poultry; live, ducks, weighing not more than 185g",1
10514,"Poultry; live, geese, weighing not more than 185g",1
10515,"Poultry; live, guinea fowls, weighing not more than 185g",1
10519,"Poultry; live, weighing not more than 185g, ducks, geese and guinea fowls",1
10519,"Poultry; live, weighing not more than 185g, ducks, geese, turkeys and guinea fowls",1
10591,"Poultry; live, fowls of the species gallus domesticus, weighing more than 185g",1
10592,"Poultry; live, weighing over 185g but not more than 2000g, fowls of the species gallus domesticus",1
10593,"Poultry; live, weighing over 2000g, fowls of the species gallus domesticus",1
10594,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",1
10599,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",1
10600,"Animals; live, n.e.s. in chapter 1",1
10611,"Mammals; live, primates",1
10612,"Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",1
10612,"Mammals; live, whales, dolphins and porpoises ( mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)",1
10613,"Mammals; live, camels and other camelids (Camelidae)",1
10614,"Mammals; live, rabbits and hares",1
10619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",1
10619,"Mammals; live, other than primates, whales, dolphins and porpoises (order Cetacea), manatees and dugongs (order Sirenia)",1
10620,Reptiles; live (including snakes and turtles),1
10631,"Birds; live, birds of prey",1
10631,"Animals; live, birds of prey",1
10632,"Birds; live, Psittaciformes",1
10632,"Animals; live, birds, Psittaciformes",1
10633,"Birds; live, ostriches; emus (Dromaius novaehollandiae)",1
10639,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",1
10639,"Animals; live, birds, other than birds of prey and Psittaciformes",1
10641,"Insects; live, bees",1
10649,"Insects; live, other than bees",1
10690,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",1
10690,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles and birds",1
20110,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",1
20120,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",2
